Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:066,Does management monitor moderate and high residual risk issues from the cybersecurity risk assessment until items are addressed?,2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,66,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:067,Does the cybersecurity function have a clear reporting line that does not present a conflict of interest?,3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,67,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:068,"Does the risk management program specifically address cyber risks beyond the boundaries of the technological impacts (e.g., financial, strategic, regulatory, compliance)?",3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,68,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:069,Are benchmarks or target performance metrics established for showing improvements or regressions of the security posture over time?,3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,69,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:070,Does management use the results of independent audits and reviews to improve cybersecurity?,3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,70,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:071,"Is there a process to analyze and assign potential losses and related expenses, by cost center, associated with cybersecurity incidents?",3,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,71,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:072,Are cybersecurity metrics used to facilitate strategic decision-making and funding in areas of need?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,72,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:073,Does independent risk management set and monitor cyber-related risk limits for business units?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,73,NO,,,Cyber Risk Management and Oversight / Risk Management / Risk Management Program,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
